name,links,cost,collections,cuisines,timings
beyond flavours,https://www.zomato.com/hyderabad/beyond-flavours-gachibowli,800,"Food Hygiene Rated Restaurants in Hyderabad, Corporate Favorites, Great Buffets, Top-Rated, Gold Curated, Live Sports Screenings","Chinese, Continental, Kebab, European, South Indian, North Indian","12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
paradise,https://www.zomato.com/hyderabad/paradise-gachibowli,800,Hyderabad's Hottest,"Biryani, North Indian, Chinese",11 AM to 11 PM
flechazo,https://www.zomato.com/hyderabad/flechazo-gachibowli,"1,300","Great Buffets, Hyderabad's Hottest","Asian, Mediterranean, North Indian, Desserts","11:30 AM to 4:30 PM, 6:30 PM to 11 PM"
shah ghouse hotel & restaurant,https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-gachibowli,800,Late Night Restaurants,"Biryani, North Indian, Chinese, Seafood, Beverages",12 Noon to 2 AM
over the moon brew company,https://www.zomato.com/hyderabad/over-the-moon-brew-company-gachibowli,"1,200","Best Bars & Pubs, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated, Hyderabad's Hottest","Asian, Continental, North Indian, Chinese, Mediterranean","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)"
the fisherman's wharf,https://www.zomato.com/hyderabad/the-fishermans-wharf-gachibowli,"1,500","Sunday Brunches, Corporate Favorites, Great Buffets, Hyderabad's Hottest, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated","Seafood, Goan, North Indian, Continental, Asian","12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 12Midnight (Fri-Sat)"
eat.fit,https://www.zomato.com/hyderabad/eat-fit-gachibowli,500,Food Hygiene Rated Restaurants in Hyderabad,"Healthy Food, North Indian, Continental, South Indian",7 AM to 10 PM
shah ghouse spl shawarma,https://www.zomato.com/hyderabad/shah-ghouse-spl-shawarma-gachibowli,300,,Lebanese,12 Noon to 12 Midnight
hyper local,https://www.zomato.com/hyderabad/hyper-local-gachibowli,"1,000","Great Buffets, Live Sports Screenings, Best Bars & Pubs, Trending This Week","American, Chinese, North Indian, Kebab, South Indian",12 Noon to 12 Midnight
cream stone,https://www.zomato.com/hyderabad/cream-stone-gachibowli,350,Frozen Delights,"Ice Cream, Desserts","10 AM to 1 AM (Mon-Thu), 10 AM to 1:30 AM (Fri-Sun)"
sardarji's chaats & more,https://www.zomato.com/hyderabad/sardarjis-chaats-more-gachibowli,400,"Street Food, Veggie Friendly, Pocket Friendly","Street Food, North Indian, Fast Food","12 Noon to 3:30 PM, 7 PM to 10:30 PM"
barbeque nation,https://www.zomato.com/hyderabad/barbeque-nation-gachibowli,"1,600",Barbecue & Grill,"Mediterranean, North Indian, Kebab, BBQ","12 Noon to 3:30 PM, 6:30 PM to 11:30 PM"
absolute sizzlers,https://www.zomato.com/hyderabad/absolute-sizzlers-gachibowli,750,Great Buffets,"Continental, American, Chinese",11:30 AM to 1 AM
the lal street - bar exchange,https://www.zomato.com/hyderabad/the-lal-street-bar-exchange-gachibowli,"1,300","Corporate Favorites, Happy Hours, Live Sports Screenings, Rooftops, Trending This Week","North Indian, Italian, Finger Food",12noon to 12midnight (Mon-Sun)
ab's - absolute barbecues,https://www.zomato.com/hyderabad/abs-absolute-barbecues-gachibowli,"1,500","Barbecue & Grill, Great Buffets, Corporate Favorites, Hyderabad's Hottest","European, Mediterranean, North Indian","12 Noon to 4:30 PM, 6:30 PM to 11:30 PM"
kfc,https://www.zomato.com/hyderabad/kfc-gachibowli,500,,"Burger, Fast Food",11 AM to 11 PM
norfest - the dhaba,https://www.zomato.com/hyderabad/norfest-the-dhaba-gachibowli,550,,North Indian,12 Noon to 10:30 PM
hotel zara hi-fi,https://www.zomato.com/hyderabad/hotel-zara-gachibowli,400,,"Chinese, North Indian",11:30 AM to 1 AM
10 downing street,https://www.zomato.com/hyderabad/10-downing-street-gachibowli,"1,900",Trending This Week,"North Indian, Chinese, Continental",12 Noon to 12 Midnight
pakwaan grand,https://www.zomato.com/hyderabad/pakwaan-grand-gachibowli,400,Trending This Week,"North Indian, Chinese, Biryani",12 Noon to 11 PM
13 dhaba,https://www.zomato.com/hyderabad/13-dhaba-gachibowli,450,Veggie Friendly,North Indian,"12:30 PM to 10 PM (Tue-Sun), Mon Closed"
jonathan's kitchen - holiday inn express & suites,https://www.zomato.com/hyderabad/jonathans-kitchen-holiday-inn-express-suites-gachibowli,"1,900","Great Italian, Sunday Brunches","North Indian, Japanese, Italian, Salad, Sushi","11:30 AM to 3 PM, 7 PM to 11 PM"
b-dubs,https://www.zomato.com/hyderabad/b-dubs-gachibowli,"1,600",Hyderabad's Hottest,American,"11am to 11:30pm (Mon, Tue, Wed, Thu, Sun), 11am to 12midnight (Fri-Sat)"
amul,https://www.zomato.com/hyderabad/amul-gachibowli,150,,"Ice Cream, Desserts",10 AM to 5 AM
skyhy,https://www.zomato.com/hyderabad/skyhy-gachibowli,"1,400","Live Sports Screenings, Gigs and Events","North Indian, Chinese, Continental","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)"
tiki shack,https://www.zomato.com/hyderabad/tiki-shack-gachibowli,"1,000",,Continental,"12Noon to 11PM (Mon-Thu),12Noon to 11:30PM (Fri-Sun)"
mustang terrace lounge,https://www.zomato.com/hyderabad/mustang-terrace-lounge-gachibowli,"1,300","Rooftops, Live Sports Screenings, Best Bars & Pubs","Mexican, Italian, North Indian, Chinese, Salad","12 Noon to 11:30 PM (Mon-Wed), 12 Noon to 1 AM (Fri-Sat), 12 Noon to 12 Midnight (Sun), Thu Closed"
"3b's - buddies, bar & barbecue",https://www.zomato.com/hyderabad/3bs-buddies-bar-barbecue-gachibowli,"1,100","Barbecue & Grill, Live Sports Screenings","North Indian, Mediterranean, European","12 Noon to 4 PM, 6:30 PM to 11:30 PM"
behrouz biryani,https://www.zomato.com/hyderabad/behrouz-biryani-gachibowli,600,,"Mughlai, Biryani",10 AM to 1 AM
hunger maggi point,https://www.zomato.com/hyderabad/hunger-maggi-point-gachibowli,200,,Fast Food,4:30 PM to 5:30 AM
pot pourri,https://www.zomato.com/hyderabad/pot-pourri-gachibowli,900,,"Andhra, South Indian, North Indian",
pista house,https://www.zomato.com/hyderabad/pista-house-2-gachibowli,"1,000",Haleem,"Bakery, North Indian, Mughlai, Juices, Chinese",11 AM to 12 Midnight
marsala food company,https://www.zomato.com/hyderabad/marsala-food-company-gachibowli,700,"Mandi, Great Buffets, The ‘Must Visit’ Eateries","Arabian, North Indian, Chinese","12noon to 4pm, 7pm to 12midnight (Mon-Sun)"
club rogue,https://www.zomato.com/hyderabad/club-rogue-gachibowli,900,,"North Indian, Fast Food",11 AM to 12 Midnight
mazzo - marriott executive apartments,https://www.zomato.com/hyderabad/mazzo-marriott-executive-apartments-gachibowli,"1,700","Top-Rated, Gold Curated, Fancy and Fun","Italian, North Indian, South Indian, Asian",6am to 12midnight (Mon-Sun)
green bawarchi restaurant,https://www.zomato.com/hyderabad/green-bawarchi-restaurant-gachibowli,700,,"North Indian, Chinese, Biryani",12 Noon to 11 PM
banana leaf multicuisine restaurant,https://www.zomato.com/hyderabad/banana-leaf-multicuisine-restaurant-gachibowli,700,Great Buffets,"Biryani, South Indian, North Indian, Chinese, Andhra","12:30 PM to 3:30 PM, 7 PM to 10:40 PM"
kritunga restaurant,https://www.zomato.com/hyderabad/kritunga-restaurant-gachibowli,500,,"Andhra, Biryani, Hyderabadi, North Indian","12 Noon to 4 PM, 7 PM to 11 PM"
the glass onion,https://www.zomato.com/hyderabad/the-glass-onion-gachibowli,"1,200",Fancy and Fun,"North Indian, Continental, Italian, Asian","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)"
deli 9 bistro,https://www.zomato.com/hyderabad/deli-9-bistro-gachibowli,700,,"Cafe, Continental, Desserts",12 Noon to 10:30 PM
frio bistro,https://www.zomato.com/hyderabad/frio-bistro-gachibowli,"1,200",,"European, Italian, Continental, Spanish",12noon to 11pm (Mon-Sun)
karachi bakery,https://www.zomato.com/hyderabad/karachi-bakery-gachibowli,500,,"Bakery, Fast Food, Desserts",10 AM to 10 PM
karachi cafe,https://www.zomato.com/hyderabad/karachi-cafe-gachibowli,600,,"Cafe, Desserts, Fast Food",10 AM to 10 PM
the foodie monster kitchen,https://www.zomato.com/hyderabad/the-foodie-monster-kitchen-gachibowli,500,"Great Breakfasts, Late Night Restaurants, Best shawarmas","American, Wraps, Desserts",7 AM to 1 AM
la la land - bar & kitchen,https://www.zomato.com/hyderabad/la-la-land-bar-kitchen-gachibowli,"1,000","Great Buffets, Trending This Week","Finger Food, North Indian, Kebab, Chinese",12 Noon to 11:30 PM
