PC1,PC2,cluster
1.5349956204013135,0.7513595222988702,2
-1.5063523431126895,0.5153145900870669,1
2.7907926206285465,1.9543592180861142,2
3.7379601333418644,1.5322038809439582,2
0.36408362895025487,0.04241519200515547,0
-2.2919086481911926,0.48701329200203464,1
3.29099979710423,-7.608160548929842,3
-1.5565060486925537,0.7058994441896672,1
3.6400943797606495,-4.772685854936277,3
-1.4905651880742947,0.7196398398223568,1
-3.487494756036328,-1.327174336808143,1
3.3242208638389203,1.0121412407777817,2
0.05830945250440501,-0.062204911807312004,0
2.8669639188362415,0.7769880566631613,2
-2.300121869288429,-0.18858421319385052,1
-1.3240614294985942,0.8861241146708277,1
1.650755936821636,0.5197959955336545,2
-0.8278291854838233,0.36912885272604296,1
1.000832260326919,-0.49786926709400114,0
2.5133756115245953,0.9777690097975966,2
1.9751551976011006,-0.3194061395241977,0
-1.768215453795246,0.26406042438840893,1
1.6707465337778957,-0.47856686198336423,2
0.5823781566644541,0.4641006078964128,0
-3.808755524265553,0.015145597256944029,1
1.0308571557524164,-0.32869746404726674,0
-2.9249231178514803,0.08622616732486377,1
-1.416175323074581,-0.4020706960141837,1
0.19574041953883636,-0.35556832728235155,0
-3.833975801839383,-0.09346664577669606,1
1.7804164331821142,-0.5619520933998339,0
-0.89730840994436,-0.667417804524864,0
-0.4299396975254016,0.3593963957470243,0
-0.8677914655306604,-0.34939064163788264,0
-1.6721494460004702,-0.20153584947038636,1
3.2371994856680812,0.7775712407129239,2
3.129927372689717,0.6763207094612051,2
0.8160575559189329,0.1632125500719655,0
0.6700048845967821,0.6344147356691219,0
-0.20329265940242788,0.27360187866782837,0
-1.7203976093528166,0.6016018658821183,1
-3.4981818099029396,-0.6150165593636553,1
-4.718875108022734,-1.264302610345654,1
-3.060388832090215,-0.3198592815761149,1
-1.5522407756820646,1.0334935037917987,1
1.2987499584561772,-0.8533809770807061,0
1.3526744821996595,-0.9396040289792913,0
1.6427160249531627,0.21346654488748404,2
-0.22741148514893678,0.13186665786299964,0
-0.031610505314405825,-0.4565818696954591,0
-3.1934054935370457,-0.7303092346060236,1
0.5848053099290579,0.8086145576586864,0
1.6091733264728965,0.649037449232499,2
-1.6676601018278614,-0.278274628170718,1
0.8875211705536032,0.10163923976000301,0
-0.10842595300518428,-0.2900163425658925,0
2.0925540557047024,0.016594345215690285,2
1.184638305087884,-1.8467063405465778,0
-2.173654938986902,0.22564580270358298,1
2.721322799835516,0.6487121840436004,2
-4.060002717582953,0.21223316215657054,1
-1.0375377736815967,0.5235257745892332,1
-0.10770234055881234,0.2284149294556882,0
0.744154506129136,0.8732855175268011,0
0.4030995003030871,1.0559282133506043,0
2.649951352987585,0.33480270424664926,2
-2.547341796706568,-0.28697828090101074,1
-3.2008250238380738,-0.306188704896872,1
2.4324073794057743,1.1605965001673442,2
0.09555530070846159,-1.1869396555208032,0
0.06643290165005562,-0.6278881076556188,0
1.94864672118148,-1.2047617472084036,0
1.9106432998992577,1.1139384789992215,2
-1.6970696230957678,1.3301072787580872,1
-1.7389487278554232,0.6128958740457738,1
-1.2676292194026704,-0.6742545243647131,1
-1.4092972252826323,0.39798934792494123,1
-0.8037750655255333,-0.88573907597368,0
-4.322229664028792,-0.09557578874343184,1
0.6250651493976079,0.5494475473116768,0
-0.022215253622024547,0.8715946822749979,0
-0.694124908948991,0.16326446476550036,0
-0.9664743607715415,0.20514726042249654,1
0.647865377452656,-0.3185422862634611,0
-2.414032574038204,-1.089919351299009,1
2.1573850539587562,1.3234559863926632,2
-0.04877658309872473,-0.3449755367455902,0
2.4298034780335547,0.4228588531610589,2
3.619912765460601,0.6643464731743884,2
0.7454086271651138,0.5934122263793119,0
0.5525121951061635,-0.5460102521834651,0
1.988686299745208,0.3098908960022971,2
0.36003683541542025,0.04083689155682512,0
-1.8857581527404552,0.6417819463776524,1
-0.900525755916212,1.4705640735257746,1
0.15267893358366663,-1.0826207255840796,0
1.3025719164547283,-0.8792821882561922,0
0.5534780774305504,0.2049316391331256,0
2.9041682830910567,0.6159775056229279,2
0.15739893999106488,0.022376819795819652,0
